Feature,Mean_SHAP_Value
num__physical_activity_minutes_per_week,0.21623241666666676
num__age,0.11059924999999997
num__family_history_diabetes,0.059162833333333276
num__triglycerides,0.05037449999999974
num__bmi,0.03306341666666655
num__diet_score,0.0292075833333333
num__hdl_cholesterol,0.025944333333333233
num__ldl_cholesterol,0.021075749999999904
num__cholesterol_total,0.020287999999999966
num__heart_rate,0.01999383333333325
num__screen_time_hours_per_day,0.016915999999999924
num__systolic_bp,0.013801583333333284
num__waist_to_hip_ratio,0.013270083333333288
num__diastolic_bp,0.009845166666666641
num__alcohol_consumption_per_week,0.00520991666666666
num__sleep_hours_per_day,0.0048879166666666776
cat__education_level_Graduate,0.003854750000000036
cat__income_level_Middle,0.003334333333333366
cat__employment_status_Retired,0.0029494166666666956
cat__income_level_Low,0.002823333333333363
num__cardiovascular_history,0.0027396666666666897
cat__smoking_status_Never,0.001940583333333331
cat__ethnicity_Hispanic,0.001778833333333337
cat__income_level_Upper-Middle,0.0017552499999999983
cat__ethnicity_Asian,0.0014232499999999985
cat__education_level_No formal,0.0013327499999999997
num__hypertension_history,0.0012259999999999947
cat__smoking_status_Current,0.0012146666666666636
cat__education_level_Postgraduate,0.0011921666666666639
cat__ethnicity_Other,0.0011569999999999961
cat__income_level_Lower-Middle,0.0011334999999999939
cat__ethnicity_White,0.0009915833333333248
cat__employment_status_Unemployed,0.0009817499999999894
cat__gender_Female,0.0008769166666666593
cat__education_level_Highschool,0.0007436666666666621
cat__employment_status_Employed,0.000596166666666666
cat__gender_Male,0.0005675000000000014
cat__ethnicity_Black,0.000457250000000002
cat__employment_status_Student,0.0003089166666666681
cat__smoking_status_Former,0.00018433333333333368
cat__income_level_High,0.00014300000000000003
cat__gender_Other,7.900000000000001e-05
